Local Case Number,Crash Date/Time,Road Name,Related Non-Motorist,Weather,Surface Condition,Light,Driver Substance Abuse,Pedestrian Type,Pedestrian Movement,Pedestrian Actions,Pedestrian Location,At Fault,Injury Severity,Safety Equipment,Latitude,Longitude,Year,Month,Hour
240049947,10/19/2024 03:06:00 AM,TECH RD,Pedestrian,Clear,Dry,Medium,"Not Suspect of Alcohol Use, Not Suspect of Drug Use",Pedestrian,Cross/Enter at Intersection,None (No Improper Action),Intersection Marked Crosswalk,No,Possible Minor Injury,None,39.05795366,-76.96832733,2024,10,3
240049888,10/18/2024 05:00:00 PM,WOODSIDE PKWY,Pedestrian,Clear,Dry,Daylight,"Not Suspect of Alcohol Use, Not Suspect of Drug Use",Pedestrian,Walking/Cycling Along Roadway Against Traffic (In or Adjacent to Travel Lane),None (No Improper Action),Other,No,Possible Minor Injury,None,39.00488738,-77.03148883,2024,10,17
240049741,10/17/2024 07:45:00 PM,RAYBURN RD,Cyclist (Electric),Clear,Dry,Dark,"Not Suspect of Alcohol Use, Not Suspect of Drug Use",Cyclist (Electric),Cross/Enter at Intersection,"Dart/Dash, Failure to Yield Right-Of-Way, Not Visible (Dark Clothing, No Lighting, etc.)",Intersection Other,Yes,Suspected Serious Injury,None,38.99317686,-77.1205867,2024,10,19
240049600,10/17/2024 07:53:00 AM,MILESTONE DR,Pedestrian,Clear,Dry,Daylight,"Not Suspect of Alcohol Use, Not Suspect of Drug Use, Not Suspect of Alcohol Use, Not Suspect of Drug Use",Pedestrian,Other Working,None (No Improper Action),Other,No,Possible Minor Injury,None,39.04861224,-76.98456399,2024,10,7
240051710,10/16/2024 05:56:00 PM,NO NAME,Pedestrian,Clear,Dry,Medium,"Unknown, Unknown",Pedestrian,Cross/Enter Not at Intersection,Unknown,Intersection Unmarked Crosswalk,No,Possible Minor Injury,None,39.00128289,-76.98611441,2024,10,17
240049491,10/16/2024 04:49:00 PM,NA,Pedestrian,Clear,Dry,Daylight,"Not Suspect of Alcohol Use, Not Suspect of Drug Use",Pedestrian,Cross/Enter at Intersection,Unknown,Unknown,Yes,Possible Minor Injury,None,39.18421462,-77.21094197,2024,10,16
240049487,10/16/2024 03:46:00 PM,OBSERVATION DR (SB/L),Pedestrian,Clear,Dry,Daylight,"Not Suspect of Alcohol Use, Not Suspect of Drug Use",Pedestrian,Walking/Cycling Along Roadway With Traffic (In or Adjacent to Travel Lane),None (No Improper Action),Intersection Marked Crosswalk,No,Possible Minor Injury,None,39.20383788,-77.25977099,2024,10,15
240049406,10/16/2024 10:00:00 AM,MACARTHUR BLVD,Cyclist (non-electric),Clear,Dry,Daylight,"Not Suspect of Alcohol Use, Not Suspect of Drug Use",Cyclist (non-electric),Walking/Cycling Along Roadway Against Traffic (In or Adjacent to Travel Lane),None (No Improper Action),Shoulder/Roadside,No,Suspected Serious Injury,Helmet,38.97429686,-77.1682134,2024,10,10
240049403,10/16/2024 09:26:00 AM,FAIRLAND RD (WB/L),Cyclist (non-electric),Clear,Dry,Daylight,"Not Suspect of Alcohol Use, Not Suspect of Drug Use",Cyclist (non-electric),Cross/Enter at Intersection,"Dart/Dash, Other",Intersection Other,Yes,Possible Minor Injury,None,39.07612548,-76.95772463,2024,10,9
240049388,10/16/2024 07:53:00 AM,NA,Pedestrian,Clear,NA,Daylight,"Not Suspect of Alcohol Use, Not Suspect of Drug Use",Pedestrian,Cross/Enter Not at Intersection,None (No Improper Action),Other,No,No Apparent Injury,None,39.06486013,-77.03897102,2024,10,7
